sample	custom_content_biotype_counts_mqc_generalstats_custom_content_biotype_counts_percent_r_rna	r_se_qc_mqc_generalstats_rseqc_proper_pairs_percent	samtools_stats_mqc_generalstats_samtools_stats_error_rate	samtools_stats_mqc_generalstats_samtools_stats_non_primary_alignments	samtools_stats_mqc_generalstats_samtools_stats_reads_mapped	samtools_stats_mqc_generalstats_samtools_stats_reads_mapped_percent	samtools_stats_mqc_generalstats_samtools_stats_reads_properly_paired_percent	samtools_stats_mqc_generalstats_samtools_stats_reads_mq0_percent	samtools_stats_mqc_generalstats_samtools_stats_raw_total_sequences	samtools_flagstat_mqc_generalstats_samtools_flagstat_flagstat_total	samtools_flagstat_mqc_generalstats_samtools_flagstat_mapped_passed	samtools_flagstat_mqc_generalstats_samtools_flagstat_mapped_passed_pct	star_mqc_generalstats_star_uniquely_mapped_percent	star_mqc_generalstats_star_uniquely_mapped	umi_tools_dedup_mqc_generalstats_umi_tools_dedup_dedup_output_reads	umi_tools_dedup_mqc_generalstats_umi_tools_dedup_dedup_percent_passing	sort_me_rna_mqc_generalstats_sortmerna_r_rna_pct	fast_qc_raw_mqc_generalstats_fastqc_raw_percent_duplicates	fast_qc_raw_mqc_generalstats_fastqc_raw_percent_gc	fast_qc_raw_mqc_generalstats_fastqc_raw_avg_sequence_length	fast_qc_raw_mqc_generalstats_fastqc_raw_median_sequence_length	fast_qc_raw_mqc_generalstats_fastqc_raw_percent_fails	fast_qc_raw_mqc_generalstats_fastqc_raw_total_sequences	cutadapt_mqc_generalstats_cutadapt_percent_trimmed	fast_qc_trimmed_mqc_generalstats_fastqc_trimmed_percent_duplicates	fast_qc_trimmed_mqc_generalstats_fastqc_trimmed_percent_gc	fast_qc_trimmed_mqc_generalstats_fastqc_trimmed_avg_sequence_length	fast_qc_trimmed_mqc_generalstats_fastqc_trimmed_median_sequence_length	fast_qc_trimmed_mqc_generalstats_fastqc_trimmed_percent_fails	fast_qc_trimmed_mqc_generalstats_fastqc_trimmed_total_sequences	sample_2
K562_GSK2982772_2.5_24_NONE_I16_50	2.40724291247506e-05	92.6946903824953	0.00297027	3790724	85492487	100	100	0.197858321749372	85492487	89283211	89283211	100	94.61	53679270	44864354	76.94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_2.5_24_NONE_I16_50
K562_GSK2982772_1.25_24_NONE_I18_50	4.71525319442686e-05	92.4578931294281	0.00300419	4020874	87161870	100	100	0.204678949637037	87161870	91182744	91182744	100	94.01	56978034	45813685	73.91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_1.25_24_NONE_I18_50
K562_GSK2982772_0.625_24_NONE_I20_50	0.000120800837069267	92.4048093815504	0.003261809	2119514	45854305	100	100	0.209875604918666	45854305	47973819	47973819	100	94.46	44019629	24088601	50.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_0.625_24_NONE_I20_50
K562_Deucravacitinib_0.156_24_NONE_I22_50	3.32728684651822e-05	92.8292401817376	0.00303017	3248612	74872161	100	100	0.19066632790257	74872161	78120773	78120773	100	94.58	46961881	39250693	77.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_0.156_24_NONE_I22_50
K562_Deucravacitinib_0.0781_24_NONE_I24_50	3.47377275516554e-05	92.9781862128925	0.003146874	2731074	65137288	100	100	0.187520855949667	65137288	67868362	67868362	100	95.2	59329034	34091842	53.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_0.0781_24_NONE_I24_50
K562_GSK2982772_0.039_24_NONE_J1_50	1.34665017738413e-05	93.3014278919654	0.003042812	2681775	66974055	100	100	0.176681850904802	66974055	69655830	69655830	100	95.22	39847438	34998149	81.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_0.039_24_NONE_J1_50
K562_cyclosporin_10_24_NONE_J11_50	4.66518120120019e-05	92.958838546179	0.003004006	2702365	63335973	100	100	0.195130814521473	63335973	66038338	66038338	100	94.89	39875636	33164152	76.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_10_24_NONE_J11_50
K562_cyclosporin_2.5_24_NONE_J13_50	2.30586815313381e-05	93.475968455462	0.003153492	1892464	48583089	100	100	0.17566194689679	48583089	50475553	50475553	100	95.24	30119354	25353743	78.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_2.5_24_NONE_J13_50
K562_cyclosporin_0.625_24_NONE_J15_50	2.21729012430382e-05	93.3356696411854	0.003038468	2815387	70890653	100	100	0.178792259114893	70890653	73706040	73706040	100	95.3	44615050	37034488	76.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_0.625_24_NONE_J15_50
K562_cyclosporin_0.0781_24_NONE_J17_50	2.68599770259901e-05	93.1349053058313	0.003087962	2737867	66766360	100	100	0.185049776564126	66766360	69504227	69504227	100	95.09	45376228	34920900	71.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_0.0781_24_NONE_J17_50
K562_rapamycin_10_24_NONE_J3_50	1.66867345508058e-05	93.2334716082746	0.003160006	2160294	53759696	100	100	0.168014342938249	53759696	55919990	55919990	100	95.3	35468826	28096410	73.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_10_24_NONE_J3_50
K562_rapamycin_2.5_24_NONE_J5_50	4.30404933090923e-05	93.4014435519241	0.003072049	1822964	46525141	100	100	0.166209061032185	46525141	48348105	48348105	100	95.4	29584526	24289626	76.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_2.5_24_NONE_J5_50
K562_rapamycin_0.312_24_NONE_J7_50	0.000103932757335221	93.2822573838293	0.003138645	2162492	54054443	100	100	0.170113675947045	54054443	56216935	56216935	100	95.32	33518740	28245229	77.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_0.312_24_NONE_J7_50
K562_rapamycin_0.039_24_NONE_J9_50	2.28491617537478e-05	92.9430644811642	0.003093333	2508770	59138442	100	100	0.191444001855849	59138442	61647212	61647212	100	95.12	38616573	30977428	74.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_0.039_24_NONE_J9_50
K562_Deucravacitinib_20_24_NONE_K10_50	2.57517235700118e-05	92.5754703898855	0.00302931	3559495	79449252	100	100	0.186506475857067	79449252	83008747	83008747	100	94.52	52671581	41693291	72.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_20_24_NONE_K10_50
K562_Deucravacitinib_10_24_NONE_K12_50	3.16002229367001e-05	92.533471332086	0.00304167	3614452	79586300	100	100	0.204659595935481	79586300	83200752	83200752	100	94.45	55299022	41795836	69.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_10_24_NONE_K12_50
K562_GSK2982772_5_24_NONE_K14_50	3.65552111479259e-05	92.6469792352701	0.002977782	3335027	74676775	100	100	0.196200224233036	74676775	78011802	78011802	100	94.53	48207663	39198135	74.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_5_24_NONE_K14_50
K562_GSK2982772_2.5_24_NONE_K16_50	3.01065267446678e-05	92.5070490431888	0.002981888	3822512	83617724	100	100	0.205591580081754	83617724	87440236	87440236	100	94.24	52771534	43940571	76.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_2.5_24_NONE_K16_50
K562_GSK2982772_1.25_24_NONE_K18_50	4.97327056529082e-05	91.8722085643885	0.002993124	4918524	97766542	100	100	0.226764694203872	97766542	102685066	102685066	100	93.11	66348800	51592418	71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_1.25_24_NONE_K18_50
K562_DMSO_0_24_NONE_K20_50	5.23459025616619e-05	92.0950522593714	0.003110958	3189547	65613615	100	100	0.217835886652488	65613615	68803162	68803162	100	93.04	55746626	34555348	56.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_DMSO_0_24_NONE_K20_50
K562_Deucravacitinib_0.156_24_NONE_K22_50	1.6473937160606e-05	92.6899341361446	0.002996521	3655551	82455260	100	100	0.195918368336962	82455260	86110811	86110811	100	94.45	52718739	43270120	75.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_0.156_24_NONE_K22_50
K562_GSK2982772_0.0781_24_NONE_K24_50	4.08228032913361e-05	92.7043220666236	0.003034942	4220576	95451025	100	100	0.20220107641589	95451025	99671601	99671601	100	94.75	73967304	50080175	62.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_0.0781_24_NONE_K24_50
K562_GSK2982772_0.039_24_NONE_L1_50	2.59021443464339e-05	93.2140587807955	0.003009576	3169842	78378595	100	100	0.182574081609909	78378595	81548437	81548437	100	95.26	47569521	40986846	79.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_0.039_24_NONE_L1_50
K562_DMSO_0_24_NONE_L11_50	1.78453018620252e-05	93.4319935557668	0.002975615	2444971	62621576	100	100	0.168895461845291	62621576	65066547	65066547	100	95.42	39692502	32692769	76.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_DMSO_0_24_NONE_L11_50
K562_DMSO_0_24_NONE_L13_50	2.65347394799377e-05	93.0444038301269	0.002916055	3563038	85232140	100	100	0.188814923572258	85232140	88795178	88795178	100	95.13	50176946	44626739	82.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_DMSO_0_24_NONE_L13_50
K562_DMSO_0_24_NONE_L15_50	3.38332041772452e-05	93.2909838153701	0.002996889	3442412	86233225	100	100	0.1775881627992	86233225	89675637	89675637	100	95.38	52984588	45067807	78.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_DMSO_0_24_NONE_L15_50
K562_cyclosporin_0.0781_24_NONE_L17_50	7.23085640708651e-06	93.4886827693973	0.003055345	2373914	61852046	100	100	0.170204555561509	61852046	64225960	64225960	100	95.66	44007132	32270586	68.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_0.0781_24_NONE_L17_50
K562_DMSO_0_24_NONE_L3_50	4.0093647658073e-05	93.4487712638398	0.003058639	2752767	71717614	100	100	0.160404109372629	71717614	74470381	74470381	100	95.59	51233514	37426175	67.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_DMSO_0_24_NONE_L3_50
K562_DMSO_0_24_NONE_L5_50	3.56938368284805e-05	93.5992208629291	0.003161694	2091724	55731221	100	100	0.159305678947892	55731221	57822945	57822945	100	95.68	39761855	29051540	67.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_DMSO_0_24_NONE_L5_50
K562_rapamycin_0.156_24_NONE_L7_50	1.35584257989726e-05	93.2168285943928	0.003013431	2671748	66298837	100	100	0.17016588088868	66298837	68970585	68970585	100	95.31	41891189	34656175	76.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_0.156_24_NONE_L7_50
K562_rapamycin_0.039_24_NONE_L9_50	2.88703417793759e-05	92.9291986386114	0.003017491	2659074	62623682	100	100	0.184819857765629	62623682	65282756	65282756	100	95.12	40582833	32804589	74.59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_0.039_24_NONE_L9_50
K562_Deucravacitinib_20_24_NONE_M10_50	2.01405880178942e-05	92.3184802782396	0.003262445	6282043	136409656	100	100	0.211455705159171	136409656	142691699	142691699	100	94.67	143280521	71673488	45.93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_20_24_NONE_M10_50
K562_GSK2982772_10_24_NONE_M12_50	3.31472416113732e-05	91.990775426694	0.002964199	10911878	222310400	100	100	0.230965802769461	222310400	233222278	233222278	100	93.67	136201150	117287727	78.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_10_24_NONE_M12_50
K562_GSK2982772_5_24_NONE_M14_50	3.20416852712874e-05	92.0151546438429	0.003043422	11240227	230805976	100	100	0.234063263595913	230805976	242046203	242046203	100	93.88	167007279	121734043	66.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_5_24_NONE_M14_50
K562_GSK2982772_2.5_24_NONE_M16_50	4.04940319538406e-05	92.8639451689362	0.003036238	4125418	96179767	100	100	0.198343171282584	96179767	100305185	100305185	100	95.16	73441688	50404276	63.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_2.5_24_NONE_M16_50
K562_DMSO_0_24_NONE_M18_50	3.16659737975678e-05	92.4042862367806	0.003112957	5921148	129413046	100	100	0.20652400067919	129413046	135334194	135334194	100	94.49	104812471	68015307	59.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_DMSO_0_24_NONE_M18_50
K562_Deucravacitinib_0.312_24_NONE_M20_50	0.000135492595387074	92.8407014935828	0.00306258	4208297	98163730	100	100	0.182203752852505	98163730	102372027	102372027	100	94.77	72830207	51437393	65.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_0.312_24_NONE_M20_50
K562_Deucravacitinib_0.156_24_NONE_M22_50	6.53168177001957e-05	92.9755485911403	0.003049611	4413653	104343025	100	100	0.196668632139043	104343025	108756678	108756678	100	95.17	75861433	54651725	66.54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_0.156_24_NONE_M22_50
K562_GSK2982772_0.0781_24_NONE_M24_50	3.54284466251695e-05	92.6072678230523	0.003115024	4693455	107509717	100	100	0.191255270442206	107509717	112203172	112203172	100	95.09	96915574	56418496	53.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_0.0781_24_NONE_M24_50
K562_cyclosporin_5_24_NONE_N11_50	7.12711520201934e-05	92.5868002898481	0.003192959	7149330	162224874	100	100	0.21509648390912	162224874	169374204	169374204	100	94.75	150496688	85135679	52.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_5_24_NONE_N11_50
K562_cyclosporin_1.25_24_NONE_N13_50	5.53505256538784e-05	92.8944497702555	0.00327393	5523380	133389212	100	100	0.189770219198836	133389212	138912592	138912592	100	94.93	127495129	69827937	50.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_1.25_24_NONE_N13_50
K562_cyclosporin_0.312_24_NONE_N15_50	2.4165341197702e-05	92.6939320418547	0.003159113	5307730	121767751	100	100	0.20209538073837	121767751	127075481	127075481	100	95.01	106510168	63856875	55.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_0.312_24_NONE_N15_50
K562_cyclosporin_0.0781_24_NONE_N17_50	1.97516343310267e-05	93.0557569152108	0.003112375	5140797	125133286	100	100	0.187352228566906	125133286	130274083	130274083	100	94.65	95734577	65488141	63.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_0.0781_24_NONE_N17_50
K562_rapamycin_5_24_NONE_N3_50	4.54456380035629e-05	92.0815743000919	0.003190909	9300311	195491394	100	100	0.229902192011583	195491394	204791705	204791705	100	94.47	172800419	102993874	54.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_5_24_NONE_N3_50
K562_rapamycin_1.25_24_NONE_N5_50	6.1534239342962e-05	92.6622699016455	0.003248552	5728611	132165954	100	100	0.192477708744871	132165954	137894565	137894565	100	94.56	119392069	69315498	53.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_1.25_24_NONE_N5_50
K562_rapamycin_0.156_24_NONE_N7_50	5.56839313237347e-05	93.050916954627	0.003351385	2299128	56440147	100	100	0.180022564434497	56440147	58739275	58739275	100	94.91	59569135	29504021	45.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_0.156_24_NONE_N7_50
K562_cyclosporin_20_24_NONE_N9_50	0.000193025850804477	92.3518523324935	0.0031152	8094673	175070985	100	100	0.230689282978559	175070985	183165658	183165658	100	94.45	157052099	92051005	53.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_20_24_NONE_N9_50
K562_GSK2982772_20_24_NONE_O10_50	3.10019985438361e-05	92.4417661535768	0.00310496	6745330	147549089	100	100	0.216127393372114	147549089	154294419	154294419	100	94.58	114150997	77564600	62.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_20_24_NONE_O10_50
K562_GSK2982772_10_24_NONE_O12_50	3.01297250376358e-05	92.7439298412841	0.002946052	3326916	75498700	100	100	0.196757030253501	75498700	78825616	78825616	100	94.49	44821160	39606873	81.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_10_24_NONE_O12_50
K562_GSK2982772_5_24_NONE_O14_50	2.61665789837065e-05	92.6293396711201	0.00310027	2772519	61552776	100	100	0.206692546246818	61552776	64325295	64325295	100	94.62	38166758	32316737	77.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_5_24_NONE_O14_50
K562_DMSO_0_24_NONE_O16_50	4.40979466902392e-05	92.4740380365725	0.003179864	5784571	128341552	100	100	0.202061605114453	128341552	134126123	134126123	100	94.63	111810317	67413855	55.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_DMSO_0_24_NONE_O16_50
K562_Deucravacitinib_0.625_24_NONE_O18_50	3.70948991916968e-05	92.5442719624349	0.002961609	3858593	85535400	100	100	0.194141840688183	85535400	89393993	89393993	100	94.13	55940929	44923358	73.79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_0.625_24_NONE_O18_50
K562_Deucravacitinib_0.312_24_NONE_O20_50	3.29482370839822e-05	92.7697309498987	0.002900628	2437596	55376283	100	100	0.194801807120207	55376283	57813879	57813879	100	94.48	32314746	29042069	82.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_0.312_24_NONE_O20_50
K562_GSK2982772_0.156_24_NONE_O22_50	2.72746406300927e-05	92.6070854118974	0.002930868	3423602	75790339	100	100	0.204214682296117	75790339	79213941	79213941	100	94.26	44828207	39801320	81.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_0.156_24_NONE_O22_50
K562_GSK2982772_0.0781_24_NONE_O24_50	3.24098729312005e-05	92.3869852305653	0.003004742	3486022	76174982	100	100	0.196374184899709	76174982	79661004	79661004	100	94.44	55690141	40054094	65.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_0.0781_24_NONE_O24_50
K562_rapamycin_20_24_NONE_P1_50	8.06776564575069e-05	90.3125472538181	0.002662606	6497148	104922420	100	100	0.305871709783286	104922420	111419568	111419568	100	91.6	68131163	56010547	73.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_20_24_NONE_P1_50
K562_cyclosporin_5_24_NONE_P11_50	3.01087721546367e-05	93.2106737703535	0.002911737	3011201	74598076	100	100	0.174038000658355	74598076	77609277	77609277	100	95.31	45728952	38994374	78.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_5_24_NONE_P11_50
K562_cyclosporin_1.25_24_NONE_P13_50	3.71078061693726e-05	93.0814197522436	0.002981272	3293097	79251136	100	100	0.187538005764359	79251136	82544233	82544233	100	95.07	48120075	41478899	79.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_1.25_24_NONE_P13_50
K562_cyclosporin_0.312_24_NONE_P15_50	0.00106740099961593	90.9196971417082	0.003162138	9339296	156840866	100	100	0.416224429671282	156840866	166180162	166180162	100	94.47	136193839	83560173	55.59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_0.312_24_NONE_P15_50
K562_cyclosporin_0.039_24_NONE_P17_50	0.000116321637907535	93.5189472201326	0.003524557	2340914	61112959	100	100	0.163536509498746	61112959	63453873	63453873	100	95.59	39540247	31878574	74.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_0.039_24_NONE_P17_50
K562_rapamycin_5_24_NONE_P3_50	2.63394965609105e-05	93.000192225762	0.003006914	3283812	77969605	100	100	0.192940569597602	77969605	81253417	81253417	100	95.37	50025121	40837307	75.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_5_24_NONE_P3_50
K562_rapamycin_1.25_24_NONE_P5_50	2.59745297224812e-05	92.9110000414744	0.002955607	3328826	78191403	100	100	0.187066601170975	78191403	81520229	81520229	100	95.17	45466453	40973502	83.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_1.25_24_NONE_P5_50
K562_cyclosporin_20_24_NONE_P9_50	9.22479638798792e-06	93.3358091518382	0.002882607	2948365	73750849	100	100	0.185420238348714	73750849	76699214	76699214	100	95.35	44377582	38529477	80.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_20_24_NONE_P9_50
