sample	custom_content_biotype_counts_mqc_generalstats_custom_content_biotype_counts_percent_r_rna	r_se_qc_mqc_generalstats_rseqc_proper_pairs_percent	samtools_stats_mqc_generalstats_samtools_stats_error_rate	samtools_stats_mqc_generalstats_samtools_stats_non_primary_alignments	samtools_stats_mqc_generalstats_samtools_stats_reads_mapped	samtools_stats_mqc_generalstats_samtools_stats_reads_mapped_percent	samtools_stats_mqc_generalstats_samtools_stats_reads_properly_paired_percent	samtools_stats_mqc_generalstats_samtools_stats_reads_mq0_percent	samtools_stats_mqc_generalstats_samtools_stats_raw_total_sequences	samtools_flagstat_mqc_generalstats_samtools_flagstat_flagstat_total	samtools_flagstat_mqc_generalstats_samtools_flagstat_mapped_passed	samtools_flagstat_mqc_generalstats_samtools_flagstat_mapped_passed_pct	star_mqc_generalstats_star_uniquely_mapped_percent	star_mqc_generalstats_star_uniquely_mapped	umi_tools_dedup_mqc_generalstats_umi_tools_dedup_dedup_output_reads	umi_tools_dedup_mqc_generalstats_umi_tools_dedup_dedup_percent_passing	sort_me_rna_mqc_generalstats_sortmerna_r_rna_pct	fast_qc_raw_mqc_generalstats_fastqc_raw_percent_duplicates	fast_qc_raw_mqc_generalstats_fastqc_raw_percent_gc	fast_qc_raw_mqc_generalstats_fastqc_raw_avg_sequence_length	fast_qc_raw_mqc_generalstats_fastqc_raw_median_sequence_length	fast_qc_raw_mqc_generalstats_fastqc_raw_percent_fails	fast_qc_raw_mqc_generalstats_fastqc_raw_total_sequences	cutadapt_mqc_generalstats_cutadapt_percent_trimmed	fast_qc_trimmed_mqc_generalstats_fastqc_trimmed_percent_duplicates	fast_qc_trimmed_mqc_generalstats_fastqc_trimmed_percent_gc	fast_qc_trimmed_mqc_generalstats_fastqc_trimmed_avg_sequence_length	fast_qc_trimmed_mqc_generalstats_fastqc_trimmed_median_sequence_length	fast_qc_trimmed_mqc_generalstats_fastqc_trimmed_percent_fails	fast_qc_trimmed_mqc_generalstats_fastqc_trimmed_total_sequences	sample_2
K562_rapamycin_20_24_NONE_B3_50	2.43283591686027e-05	93.0672376305274	0.002957295	2727843	65325968	100	100	0.190383707746971	65325968	68053811	68053811	100	95.27	38231530	34201470	82.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_20_24_NONE_B3_50
K562_rapamycin_5_24_NONE_B5_50	1.76687352436613e-05	93.2705867363742	0.003009954	3016008	76036991	100	100	0.16293911472641	76036991	79052999	79052999	100	95.51	48782456	39734009	75.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_5_24_NONE_B5_50
K562_rapamycin_1.25_24_NONE_B7_50	0.000299210798678276	92.8635538988425	0.002977863	2677665	61606517	100	100	0.207875734964858	61606517	64284182	64284182	100	95.2	38250620	32300437	77.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_1.25_24_NONE_B7_50
K562_rapamycin_0.0781_24_NONE_B9_50	0.000161535722009565	93.4010667717051	0.002998569	1835416	46913721	100	100	0.160577755066583	46913721	48749137	48749137	100	95.43	29245281	24488863	77.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_0.0781_24_NONE_B9_50
K562_GSK2982772_20_24_NONE_C12_50	3.14325247421119e-05	92.8651414272949	0.003014281	2785657	64913050	100	100	0.184264951346455	64913050	67698707	67698707	100	94.91	42455875	34016063	73.91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_20_24_NONE_C12_50
K562_DMSO_0_24_NONE_C14_50	1.67114847799108e-05	93.2237218402902	0.003108326	2178729	53906144	100	100	0.174566372248774	53906144	56084873	56084873	100	95.44	40133564	28174984	65.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_DMSO_0_24_NONE_C14_50
K562_Deucravacitinib_2.5_24_NONE_C16_50	3.09953365036603e-05	92.298077607638	0.003090028	3476856	73832648	100	100	0.20707641421719	73832648	77309504	77309504	100	93.92	52333770	38839241	68.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_2.5_24_NONE_C16_50
K562_Deucravacitinib_1.25_24_NONE_C18_50	4.91840553277803e-05	92.6892428537643	0.003031919	3462961	78335174	100	100	0.191149125423529	78335174	81798135	81798135	100	94.41	51379890	41098412	73.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_1.25_24_NONE_C18_50
K562_Deucravacitinib_0.625_24_NONE_C20_50	0.000133826183776856	93.1220375776049	0.003032818	1886421	45688032	100	100	0.176289055304461	45688032	47574453	47574453	100	95.1	31115699	23897448	71.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_0.625_24_NONE_C20_50
K562_GSK2982772_0.312_24_NONE_C22_50	1.21511889816907e-05	93.0937751266301	0.003019274	2365264	56669463	100	100	0.187916021014704	56669463	59034727	59034727	100	95.22	36539487	29657544	75.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_0.312_24_NONE_C22_50
K562_GSK2982772_0.156_24_NONE_C24_50	2.6869586680934e-05	92.7752994370345	0.003146845	2965925	67784592	100	100	0.199750409355566	67784592	70750517	70750517	100	94.88	53838336	35543781	60.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_0.156_24_NONE_C24_50
K562_Deucravacitinib_0.039_24_NONE_D1_50	3.63766768511257e-05	93.0608840559147	0.002849667	3099365	74738879	100	100	0.175618100988643	74738879	77838244	77838244	100	95.03	44642102	39116459	80.94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_0.039_24_NONE_D1_50
K562_DMSO_0_24_NONE_D13_50	2.36883819078833e-05	93.3101736578483	0.003030632	2636280	66350294	100	100	0.173330053367962	66350294	68986574	68986574	100	95.41	42330624	34667378	75.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_DMSO_0_24_NONE_D13_50
K562_DMSO_0_24_NONE_D15_50	1.18580292702409e-05	93.3494295459877	0.002934274	2988960	75704500	100	100	0.172506257884274	75704500	78693460	78693460	100	95.48	46035402	39545764	79.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_DMSO_0_24_NONE_D15_50
K562_cyclosporin_0.156_24_NONE_D17_50	2.67897976796208e-05	93.4921103508945	0.003121934	2236996	58333315	100	100	0.163923480090237	58333315	60570311	60570311	100	95.54	38161067	30431569	73.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_0.156_24_NONE_D17_50
K562_cyclosporin_0.039_24_NONE_D19_50	1.52794817370925e-05	93.3824815679336	0.003045999	2871981	73220274	100	100	0.173555755882585	73220274	76092255	76092255	100	95.53	49444440	38237322	71.69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_0.039_24_NONE_D19_50
K562_DMSO_0_24_NONE_D3_50	3.48481272151793e-05	93.4773887073239	0.003101965	2195731	57159500	100	100	0.165158897471112	57159500	59355231	59355231	100	95.58	42102368	29823194	65.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_DMSO_0_24_NONE_D3_50
K562_DMSO_0_24_NONE_D5_50	3.07125548180713e-05	93.6627339037253	0.003116048	2398944	64769610	100	100	0.158562016970613	64769610	67168554	67168554	100	95.79	45329176	33752504	69.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_DMSO_0_24_NONE_D5_50
K562_DMSO_0_24_NONE_D7_50	5.5037958500593e-05	93.4301952776133	0.003046293	2194871	56397662	100	100	0.166631020980976	56397662	58592533	58592533	100	95.52	37953704	29438745	71.96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_DMSO_0_24_NONE_D7_50
K562_rapamycin_0.0781_24_NONE_D9_50	9.67813016666979e-05	93.4182388961482	0.003009827	2224483	57501796	100	100	0.157695943966689	57501796	59726279	59726279	100	95.65	37757893	30015129	73.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_0.0781_24_NONE_D9_50
K562_DMSO_0_24_NONE_E12_50	4.20503837185119e-05	92.745635168309	0.003040849	2860640	64922386	100	100	0.196229694946825	64922386	67783026	67783026	100	94.68	42190084	34058682	74.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_DMSO_0_24_NONE_E12_50
K562_Deucravacitinib_5_24_NONE_E14_50	6.83222958095101e-05	92.871149193556	0.003092319	2830047	66113239	100	100	0.180994006359301	66113239	68943286	68943286	100	94.8	48664663	34630408	65.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_5_24_NONE_E14_50
K562_Deucravacitinib_2.5_24_NONE_E16_50	2.80519810221335e-05	92.9898480538377	0.00302058	2701339	64349647	100	100	0.181463310902078	64349647	67050986	67050986	100	95.15	49357745	33683226	63.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_2.5_24_NONE_E16_50
K562_Deucravacitinib_1.25_24_NONE_E18_50	4.8621408474685e-05	92.3455424313781	0.003019277	4883113	104276575	100	100	0.210600511188635	104276575	109159688	109159688	100	93.95	64638469	54860534	77.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_1.25_24_NONE_E18_50
K562_GSK2982772_0.625_24_NONE_E20_50	3.75588236906938e-05	92.5552691230518	0.003033347	2752936	60615493	100	100	0.200498245555802	60615493	63368429	63368429	100	94.19	41496606	31834680	70.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_0.625_24_NONE_E20_50
K562_GSK2982772_0.312_24_NONE_E22_50	6.2796122967368e-05	93.0825130932558	0.003008896	2071852	50006295	100	100	0.172608268618981	50006295	52078147	52078147	100	94.93	34577953	26161546	69.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_0.312_24_NONE_E22_50
K562_Deucravacitinib_0.0781_24_NONE_E24_50	5.12868766319484e-05	92.7668181643916	0.003017773	2901242	66219708	100	100	0.193075451193472	66219708	69120950	69120950	100	94.47	45433369	34723977	70.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_0.0781_24_NONE_E24_50
K562_Deucravacitinib_0.039_24_NONE_F1_50	1.48486328511079e-05	93.2780181098067	0.003005792	2448583	60889255	100	100	0.176173940705959	60889255	63337838	63337838	100	95.24	35119109	31825406	83.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_0.039_24_NONE_F1_50
K562_cyclosporin_10_24_NONE_F11_50	2.061567688225e-05	93.6042616767067	0.003001824	2472174	65254221	100	100	0.167727080827461	65254221	67726395	67726395	100	95.62	40962378	34013529	77.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_10_24_NONE_F11_50
K562_cyclosporin_0.625_24_NONE_F15_50	2.83966431760169e-05	93.5186589695408	0.003096475	2432111	63170038	100	100	0.1786147413747	63170038	65602149	65602149	100	95.75	44136423	32954694	69.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_0.625_24_NONE_F15_50
