Sample	total	rRNA	rRNA_pct	non_rRNA	non_rRNA_pct	rfam-5.8s-database-id98_pct	rfam-5.8s-database-id98_count	rfam-5s-database-id98_pct	rfam-5s-database-id98_count	silva-arc-16s-id95_pct	silva-arc-16s-id95_count	silva-arc-23s-id98_pct	silva-arc-23s-id98_count	silva-bac-16s-id90_pct	silva-bac-16s-id90_count	silva-bac-23s-id98_pct	silva-bac-23s-id98_count	silva-euk-18s-id95_pct	silva-euk-18s-id95_count	silva-euk-28s-id98_pct	silva-euk-28s-id98_count
RSS0001521_2	71698040	4517272	6.3004121172628995	67180768	93.6995878827371	0.07	50188.628000000004	0.49	351320.396	0.12	86037.64799999999	0.59	423018.436	2.21	1584526.684	0.2	143396.08000000002	1.08	774338.832	1.54	1104149.816
RSS0001522_1																					
RSS0001522_2	62486706	3910017	6.257358165111151	58576689	93.74264183488886	0.08	49989.3648	0.51	318682.20060000004	0.13	81232.7178	0.6	374920.23600000003	2.12	1324718.1672	0.2	124973.412	1.08	674856.4248	1.54	962295.2724
RSS0001523_1																					
RSS0001523_2	51565534	2480259	4.809916251424838	49085275	95.19008374857516	0.04	20626.213600000003	0.49	252671.11659999998	0.06	30939.320399999997	0.38	195949.0292	2.04	1051936.8936	0.14	72191.74760000002	0.62	319706.3108	1.04	536281.5536
RSS0001524_1																					
RSS0001524_2	63312932	3197055	5.049608190629996	60115877	94.95039180937	0.05	31656.466	0.5	316564.66000000003	0.07	44319.05240000001	0.41	259583.02119999996	2.05	1297915.106	0.16	101300.6912	0.66	417865.3512	1.15	728098.718
RSS0001525_1																					
RSS0001525_2	62730214	3075016	4.901969567647258	59655198	95.09803043235274	0.03	18819.064199999997	0.47	294832.0058	0.04	25092.085600000002	0.3	188190.642	2.64	1656077.6496	0.11	69003.2354	0.46	288558.9844	0.84	526933.7975999999
RSS0001526_1																					
RSS0001526_2	62903434	3247678	5.162958193983496	59655756	94.83704180601652	0.04	25161.373600000003	0.51	320807.5134	0.06	37742.060399999995	0.39	245323.39260000002	2.37	1490811.3858	0.15	94355.151	0.61	383710.94739999995	1.03	647905.3702
RSS0001527_1																					
RSS0001527_2	56352470	3169452	5.624335543765873	53183018	94.37566445623413	0.07	39446.72900000001	0.51	287397.597	0.11	61987.717000000004	0.54	304303.338	1.78	1003073.966	0.19	107069.693	0.98	552254.206	1.46	822746.062
RSS0001528_1																					
RSS0001528_2	54747686	3089163	5.642545330591689	51658523	94.35745466940831	0.05	27373.843	0.46	251839.3556	0.08	43798.1488	0.46	251839.3556	2.35	1286570.621	0.16	87596.2976	0.83	454405.7938	1.24	678871.3064
RSS0001529_1																					
RSS0001529_2	76283816	12507593	16.396129160607277	63776223	83.60387083939273	0.32	244108.21120000002	0.43	328020.4088	0.39	297506.8824	1.81	1380737.0696	2.17	1655358.8072000002	0.69	526358.3304	3.74	2853014.7184	6.83	5210184.6328
RSS0001530_1																					
RSS0001530_2	58244232	7264683	12.472793872533163	50979549	87.52720612746684	0.23	133961.7336	0.45	262099.04400000002	0.29	168908.27279999998	1.38	803770.4016	1.77	1030922.9064	0.52	302870.0064	2.8	1630838.4959999998	5.03	2929684.8696000003
RSS0001531_1																					
RSS0001531_2	52516946	2220360	4.227892459702436	50296586	95.77210754029757	0.04	21006.7784	0.51	267836.4246	0.06	31510.167599999997	0.37	194312.70020000002	1.52	798257.5792	0.14	73523.7244	0.59	309849.9814	1.01	530421.1546
RSS0001532_1																					
RSS0001532_2	62559204	3092525	4.9433573355568905	59466679	95.05664266444312	0.05	31279.602	0.52	325307.86079999997	0.08	50047.3632	0.44	275260.4976	1.83	1144833.4332	0.16	100094.7264	0.7	437914.42799999996	1.18	738198.6072
RSS0001533_1																					
RSS0001533_2	59959696	2973797	4.959659902211646	56985899	95.04034009778836	0.04	23983.8784	0.51	305794.44960000005	0.06	35975.817599999995	0.37	221850.8752	2.26	1355089.1295999999	0.14	83943.57440000001	0.58	347766.23679999996	1.01	605592.9296
RSS0001534_1																					
RSS0001534_2	69570356	2682628	3.8559929174431704	66887728	96.14400708255683	0.03	20871.106799999998	0.5	347851.78	0.05	34785.178	0.34	236539.2104	1.42	987899.0552	0.12	83484.42719999999	0.47	326980.67319999996	0.91	633090.2396000001
RSS0001535_1																					
RSS0001535_2	59827964	4782717	7.994116263090617	55045247	92.00588373690938	0.1	59827.964	0.51	305122.6164	0.16	95724.7424	0.74	442726.93360000005	2.49	1489716.3036000002	0.27	161535.50280000002	1.45	867505.4779999999	2.28	1364077.5791999998
RSS0001536_1																					
RSS0001536_2	48248644	2558121	5.301954185489648	45690523	94.69804581451035	0.05	24124.322	0.55	265367.542	0.09	43423.7796	0.47	226768.62679999997	1.86	897424.7784000001	0.16	77197.8304	0.83	400463.7452	1.28	617582.6432
RSS0001537_1																					
RSS0001537_2	85587308	13440349	15.703670689116661	72146959	84.29632931088334	0.33	282438.1164	0.42	359466.6936	0.45	385142.88600000006	1.98	1694628.6983999999	2.14	1831568.3912000002	0.7	599111.156	4.09	3500520.8972	5.59	4784330.5172
RSS0001538_1																					
